,country,points,price,variety
38133,US,89,50,Pinot Noir
38134,Italy,89,20,Red Blend
38135,US,91,42,Pinot Noir
38136,US,91,80,Cabernet Franc
38137,US,91,60,Syrah
38138,US,91,85,Bordeaux-style Red Blend
38139,Portugal,91,30,Portuguese Red
38140,US,91,50,Pinot Noir
38141,Portugal,91,20,Portuguese Red
38142,US,91,29,Grüner Veltliner
38143,Germany,91,40,Riesling
38144,Germany,91,20,Riesling
38145,US,91,75,Cabernet Sauvignon
38146,US,91,25,Pinot Noir
38147,US,91,28,Syrah
38148,US,91,40,Rhône-style Red Blend
38149,US,91,38,Bordeaux-style Red Blend
38150,US,91,19,Sauvignon Blanc
38151,Chile,91,70,Cabernet Blend
38152,Italy,91,42,White Blend
38153,Italy,91,44,Sauvignon
38154,US,91,30,Marsanne
38155,US,91,50,Rhône-style Red Blend
38156,Germany,91,25,Riesling
38157,US,91,50,Pinot Noir
38158,France,91,17,Pinot Gris
38159,US,91,50,Syrah
38160,US,91,45,Chardonnay
38161,Spain,91,35,Tempranillo
38162,Spain,91,19,Tempranillo
38163,US,91,89,Bordeaux-style Red Blend
38164,US,91,23,Cabernet Sauvignon
38165,France,87,,Sylvaner
38166,US,87,32,Bordeaux-style Red Blend
38167,US,87,15,Chardonnay
38168,US,87,80,Syrah
38169,US,87,35,Petit Verdot
38170,Italy,87,22,Verdicchio
38171,Italy,87,,Vermentino
38172,US,87,28,Cabernet Sauvignon
38173,US,87,28,Cabernet Sauvignon
38174,US,87,16,Riesling
38175,Italy,87,18,Vermentino
38176,Argentina,87,10,Malbec
38177,US,87,40,Merlot
38178,US,87,,Petit Verdot
38179,France,87,,Pinot Gris
38180,France,87,,Pinot Blanc
38181,France,87,,Gewürztraminer
38182,France,87,,Pinot Blanc
38183,France,87,24,Grenache
38184,Italy,87,18,Cesanese d'Affile
38185,Spain,87,15,Garnacha
38186,US,87,20,Gewürztraminer
38187,US,87,18,Sauvignon Blanc
38188,France,87,,Sylvaner
38189,US,94,70,Chardonnay
38190,France,94,95,Champagne Blend
38191,South Africa,94,65,Bordeaux-style Red Blend
38192,US,94,70,Chardonnay
38193,South Africa,94,60,Bordeaux-style Red Blend
38194,Italy,94,130,Chardonnay
38195,US,94,60,Pinot Noir
38196,US,94,36,Muscat Canelli
38197,France,94,90,Champagne Blend
38198,France,94,130,Champagne Blend
38199,US,94,38,Pinot Noir
38200,US,94,100,Chardonnay
38201,US,94,90,Cabernet Sauvignon
38202,Portugal,94,39,Portuguese Red
38203,US,94,145,Cabernet Sauvignon
38204,France,94,95,Champagne Blend
38205,Portugal,94,65,Portuguese Red
38206,France,94,145,Champagne Blend
38207,US,94,60,Pinot Noir
38208,Spain,94,35,Monastrell
38209,France,94,125,Champagne Blend
38210,Canada,94,45,Syrah
38211,US,94,50,Pinot Noir
38212,US,94,60,Pinot Noir
38213,US,94,90,Pinot Noir
38214,US,94,60,Pinot Noir
38215,France,94,150,Chardonnay
38216,US,94,60,Pinot Noir
38217,France,90,,Chardonnay
38218,France,90,60,Pinot Noir
38219,Chile,90,15,Red Blend
38220,Austria,90,,Riesling
38221,US,90,18,Pinot Noir
38222,Italy,90,40,Chardonnay
38223,France,90,,Pinot Noir
38224,France,90,,Pinot Noir
38225,France,90,,Chardonnay
38226,Italy,90,,White Blend
38227,Italy,90,24,White Blend
38228,US,90,32,Zinfandel
38229,France,90,,Pinot Noir
38230,US,90,34,Pinot Noir
38231,Argentina,90,15,Malbec
38232,Italy,90,25,White Blend
38233,US,89,13,Cabernet Sauvignon
38234,Chile,89,17,Sauvignon Blanc
38235,US,89,35,Pinot Noir
38236,Australia,89,45,Chardonnay
38237,France,89,80,Pinot Gris
38238,France,89,,Chardonnay
38239,US,89,18,Muscat Blanc
38240,,89,24,Grauburgunder
38241,US,89,29,Pinot Noir
38242,US,89,,Rosé
38243,US,89,38,Pinot Noir
38244,US,89,32,Petite Sirah
38245,US,89,25,Chardonnay
38246,US,89,12,Rosé
38247,US,89,36,Pinot Noir
38248,US,89,32,Zinfandel
38249,Austria,89,25,Zierfandler-Rotgipfler
38250,Austria,89,17,Gelber Muskateller
38251,US,89,48,Chardonnay
38252,Spain,89,15,Tempranillo
38253,US,89,30,Carmenère
38254,US,89,30,Red Blend
38255,US,89,75,Red Blend
38256,US,89,36,Petit Verdot
38257,France,89,32,Bordeaux-style Red Blend
38258,France,89,26,Bordeaux-style Red Blend
38259,France,89,12,Bordeaux-style White Blend
38260,France,89,,Bordeaux-style White Blend
38261,France,89,14,Bordeaux-style Red Blend
38262,US,89,45,Merlot
38263,Italy,89,25,Grecanico
38264,US,89,20,Merlot
38265,Austria,89,17,Pinot Noir
38266,Austria,89,22,St. Laurent
38267,Austria,89,11,Riesling
38268,Italy,89,35,Albana
38269,Australia,90,37,Riesling
38270,Italy,90,60,White Blend
38271,Italy,90,60,Sagrantino
38272,US,90,30,Syrah
38273,Germany,90,34,Riesling
38274,Australia,90,23,G-S-M
38275,France,90,,Bordeaux-style Red Blend
38276,France,90,35,Bordeaux-style Red Blend
38277,France,90,35,Bordeaux-style Red Blend
38278,France,90,22,Bordeaux-style Red Blend
38279,France,90,,Bordeaux-style White Blend
38280,France,90,17,Bordeaux-style Red Blend
38281,France,90,,Bordeaux-style White Blend
38282,Italy,90,21,Red Blend
38283,Spain,90,105,Garnacha
38284,Italy,90,45,Red Blend
38285,Austria,90,19,Grüner Veltliner
38286,Spain,90,19,Albariño
38287,US,90,42,Zinfandel
38288,Germany,90,24,Riesling
38289,Austria,90,19,Blaufränkisch
38290,US,90,32,Zinfandel
38291,France,90,,Bordeaux-style White Blend
38292,US,90,48,Pinot Noir
38293,US,91,50,Cabernet Franc
38294,Italy,91,45,Syrah
38295,France,91,36,Chardonnay
38296,US,91,52,Pinot Noir
38297,Italy,91,65,Red Blend
38298,Italy,91,30,Sangiovese
38299,France,91,40,Pinot Noir
38300,France,91,,Pinot Noir
38301,France,91,70,Pinot Noir
38302,France,91,55,Chardonnay
38303,US,91,32,Syrah
38304,Italy,91,35,Red Blend
38305,France,90,50,Pinot Noir
38306,US,90,49,Pinot Noir
38307,Italy,90,45,Red Blend
38308,New Zealand,90,56,Pinot Noir
38309,France,90,,Chardonnay
38310,New Zealand,90,32,Pinot Noir
38311,Italy,90,43,Sangiovese
38312,Italy,90,48,Sangiovese
38313,Italy,90,28,Sangiovese
38314,Italy,90,25,Red Blend
38315,Israel,90,40,Cabernet Sauvignon
38316,New Zealand,90,30,Pinot Noir
38317,France,90,,Pinot Noir
38318,US,90,22,Cabernet Franc
38319,US,90,13,Cabernet Sauvignon
38320,Italy,90,25,Red Blend
38321,New Zealand,90,19,Pinot Noir
38322,Italy,87,20,Red Blend
38323,France,87,13,Bordeaux-style White Blend
38324,US,87,9,Gewürztraminer
38325,France,87,15,Bordeaux-style Red Blend
38326,Portugal,87,10,Portuguese Red
38327,US,87,55,Cabernet Sauvignon
38328,Israel,87,30,White Blend
38329,France,87,250,Rhône-style White Blend
38330,US,87,15,Chardonnay
38331,South Africa,87,10,Chardonnay
38332,Israel,87,55,Merlot
38333,Portugal,87,19,Portuguese Sparkling
38334,US,87,30,Meritage
38335,US,87,32,Chardonnay
38336,Italy,87,14,Garganega
38337,France,87,38,Pinot Noir
38338,US,87,35,Viognier
38339,France,87,,Chardonnay
38340,Italy,87,,Garganega
38341,US,87,16,Viognier
38342,France,87,32,Pinot Noir
38343,Portugal,87,60,Port
38344,US,87,30,Sauvignon Blanc
38345,US,87,50,Cabernet Sauvignon
38346,South Africa,87,12,Sauvignon Blanc
38347,France,87,20,Malbec
38348,US,87,10,Chardonnay
38349,South Africa,87,12,Sauvignon Blanc
38350,Italy,87,50,Refosco
38351,Argentina,87,15,Malbec
38352,US,90,20,Sauvignon Blanc
38353,US,90,30,Chardonnay
38354,Portugal,90,15,Portuguese White
38355,US,90,38,Bordeaux-style Red Blend
38356,US,90,90,Cabernet Sauvignon
38357,US,90,30,Sangiovese
38358,US,90,26,Chardonnay
38359,US,90,22,Chardonnay
38360,France,90,27,Riesling
38361,France,90,17,Riesling
38362,Moldova,90,15,Cabernet Sauvignon
38363,US,90,25,Pinot Noir
38364,Portugal,90,18,Merlot
38365,France,90,35,Pinot Noir
38366,Italy,90,28,Sauvignon
38367,US,90,48,Chardonnay
38368,US,90,25,Pinot Noir
38369,US,90,20,Sauvignon Blanc
38370,Portugal,90,60,Portuguese Red
38371,US,90,18,Cabernet Franc
38372,US,90,42,Merlot
38373,Portugal,90,25,Portuguese Red
38374,Chile,90,20,Cabernet Sauvignon
38375,Germany,90,28,Riesling
38376,Spain,90,100,Tempranillo
38377,US,90,60,Pinot Noir
38378,US,90,20,White Blend
38379,Spain,90,36,Red Blend
38380,US,90,22,Sangiovese
38381,US,90,30,Cabernet Sauvignon
38382,Chile,84,12,Carmenère
38383,Chile,84,20,Chardonnay
38384,Italy,84,18,Nero d'Avola
38385,France,84,32,Bordeaux-style Red Blend
38386,France,84,19,Bordeaux-style Red Blend
38387,France,84,12,Bordeaux-style Red Blend
38388,France,84,30,Bordeaux-style Red Blend
38389,France,84,50,Bordeaux-style Red Blend
38390,France,84,,Bordeaux-style Red Blend
38391,France,84,11,Bordeaux-style Red Blend
38392,Chile,84,13,Cabernet Sauvignon
38393,Chile,84,13,Merlot
38394,France,84,14,Bordeaux-style Red Blend
38395,US,84,20,Pinot Noir
38396,France,84,23,Bordeaux-style Red Blend
38397,France,84,12,Bordeaux-style White Blend
38398,France,84,,Bordeaux-style Red Blend
38399,France,84,17,Bordeaux-style Red Blend
38400,Chile,84,11,Chardonnay
38401,US,84,15,Rkatsiteli
38402,Italy,84,33,Frappato
38403,US,84,65,Cabernet Sauvignon
38404,US,84,35,Cabernet Sauvignon
38405,France,84,18,Rosé
38406,France,84,18,Bordeaux-style Red Blend
38407,US,84,8,Zinfandel
38408,New Zealand,84,8,Sauvignon Blanc
38409,US,84,45,Red Blend
38410,Chile,84,10,Cabernet Sauvignon
38411,Chile,84,11,Chardonnay
38412,US,94,85,Cabernet Sauvignon
38413,Italy,94,65,Nebbiolo
38414,Italy,94,65,Nebbiolo
38415,France,94,50,Riesling
38416,US,94,200,Cabernet Sauvignon
38417,US,94,59,Cabernet Sauvignon
38418,France,93,,Riesling
38419,France,93,120,Bordeaux-style White Blend
38420,Portugal,93,37,Portuguese Red
38421,Portugal,93,32,Tinta Roriz
38422,France,93,45,Riesling
38423,France,93,35,Riesling
38424,France,93,48,Gewürztraminer
38425,Italy,93,64,Nerello Mascalese
38426,US,93,34,G-S-M
38427,US,93,38,Mourvèdre
38428,US,93,44,Rhône-style Red Blend
38429,US,93,65,Red Blend
38430,US,93,50,Syrah
38431,US,93,48,Bordeaux-style Red Blend
38432,Hungary,93,26,Furmint
38433,US,93,60,Chardonnay
38434,Hungary,93,25,Furmint
38435,US,93,28,Chardonnay
38436,Italy,93,40,Sangiovese
38437,US,93,100,Pinot Noir
38438,France,93,36,Riesling
38439,US,93,28,Cabernet Sauvignon
38440,US,93,35,Pinot Noir
38441,US,93,60,Pinot Noir
38442,Italy,93,40,Red Blend
38443,France,93,20,Bordeaux-style Red Blend
38444,France,93,,Bordeaux-style Red Blend
38445,France,93,35,Bordeaux-style Red Blend
38446,France,93,30,Bordeaux-style Red Blend
38447,France,93,240,Bordeaux-style Red Blend
38448,US,93,100,Cabernet Sauvignon
38449,US,93,40,Syrah
38450,US,93,60,Pinot Noir
38451,US,93,38,Pinot Noir
38452,France,93,35,Riesling
38453,Italy,93,45,Sangiovese
38454,US,93,75,Syrah
38455,US,93,48,Tempranillo
38456,US,93,46,Pinot Noir
38457,US,93,75,Pinot Noir
38458,US,93,63,Pinot Noir
38459,US,93,63,Pinot Noir
38460,Italy,93,50,Sangiovese
38461,France,93,36,Red Blend
38462,France,93,32,Gewürztraminer
38463,France,93,53,Riesling
38464,France,93,38,Riesling
38465,Spain,85,35,Moscatel
38466,US,85,18,Riesling
38467,Italy,85,16,Vermentino
38468,US,85,20,Chardonnay
38469,France,85,10,Bordeaux-style Red Blend
38470,Australia,85,20,Sémillon
38471,Argentina,85,15,Malbec
38472,Argentina,85,10,Cabernet Sauvignon
38473,Italy,85,,Red Blend
38474,France,85,25,Bordeaux-style Red Blend
38475,France,85,,Bordeaux-style White Blend
38476,France,85,17,Bordeaux-style Red Blend
38477,France,85,,Sauvignon Blanc
38478,France,85,16,Bordeaux-style Red Blend
38479,Austria,85,15,Zweigelt
38480,Austria,85,16,Sparkling Blend
38481,Austria,85,,Sauvignon Blanc
38482,US,85,50,Cabernet Sauvignon
38483,US,85,25,Chardonnay
38484,Italy,85,,Red Blend
38485,Austria,85,,Grüner Veltliner
38486,US,85,26,Pinot Noir
38487,US,85,38,Zinfandel
38488,US,85,12,Red Blend
38489,US,85,50,Cabernet Franc
38490,Argentina,85,16,Malbec
38491,Italy,85,36,Red Blend
38492,US,85,22,Merlot
38493,Italy,85,,Merlot
38494,France,85,25,Bordeaux-style Red Blend
38495,Slovenia,89,27,Ribolla Gialla
38496,Slovenia,89,22,Ribolla Gialla
38497,US,89,49,Zinfandel
38498,US,89,34,Syrah
38499,US,89,22,Rhône-style White Blend
38500,Italy,89,40,Sangiovese
38501,France,89,79,Pinot Noir
38502,US,89,20,Riesling
38503,Macedonia,89,20,Vranec
38504,Macedonia,89,15,Vranec
38505,US,89,40,Syrah
38506,US,89,40,Chardonnay
38507,Italy,89,120,Sangiovese
38508,Turkey,89,25,Narince
38509,Slovenia,89,31,Sauvignon Blanc
38510,US,89,30,Merlot
38511,US,89,17,Syrah
38512,US,89,36,Pinot Noir
38513,US,89,20,Red Blend
38514,US,89,24,Syrah
38515,US,89,40,Bordeaux-style Red Blend
38516,France,89,16,Cabernet Franc
38517,France,89,29,Sauvignon Blanc
38518,France,89,11,Rosé
38519,Italy,89,130,Sangiovese
38520,France,89,40,Pinot Noir
38521,US,89,14,Viognier
38522,Serbia,89,20,Riesling
38523,Italy,89,100,Sangiovese
38524,US,89,20,Pinot Gris
38525,Italy,93,70,Sangiovese
38526,Italy,93,60,Sangiovese
38527,France,92,90,Chardonnay
38528,Italy,92,80,Sangiovese
38529,Italy,92,60,Sangiovese
38530,Italy,92,32,Sangiovese
38531,Italy,92,28,Sangiovese
38532,Italy,92,23,Sangiovese
38533,Italy,92,59,Sangiovese
38534,US,92,25,Chardonnay
38535,France,92,220,Chardonnay
38536,US,92,30,Chardonnay
38537,Italy,92,65,Sangiovese
38538,Italy,92,56,Sangiovese
38539,Italy,92,55,Sangiovese
38540,Italy,92,55,Sangiovese
38541,New Zealand,92,52,Cabernet Sauvignon-Merlot
38542,US,92,20,Pinot Gris
38543,Italy,91,60,Sangiovese
38544,Italy,91,32,Sangiovese
38545,US,91,40,Pinot Noir
38546,Italy,91,90,Sangiovese
38547,Italy,91,18,Vermentino
38548,Italy,91,,Sangiovese
38549,Italy,91,35,Sangiovese
38550,Italy,91,89,Merlot
38551,Italy,91,38,Sangiovese
38552,France,91,26,Sauvignon Blanc
38553,Italy,91,27,Sangiovese
38554,US,89,34,Meritage
38555,France,89,16,Melon
38556,US,89,21,Chardonnay
38557,Spain,89,15,White Blend
38558,US,89,28,Viognier
38559,US,89,55,Pinot Noir
38560,US,89,34,Cabernet Sauvignon-Merlot
38561,US,89,15,Chenin Blanc
38562,US,89,44,Chardonnay
38563,US,89,20,Grenache
38564,US,89,36,Syrah
38565,US,87,25,Chardonnay
38566,France,87,15,Chardonnay-Sauvignon
38567,Argentina,87,11,Bonarda
38568,US,87,19,Chardonnay
38569,Italy,87,19,Sangiovese
38570,Italy,87,13,White Blend
38571,Italy,87,12,Grillo
38572,Italy,87,32,Verdicchio
38573,US,87,24,Merlot
38574,US,87,35,Syrah
38575,US,87,42,Chardonnay
38576,US,87,42,Pinot Noir
38577,US,87,40,Pinot Noir
38578,US,87,12,Riesling
38579,Italy,87,29,Red Blend
38580,US,87,86,Cabernet Sauvignon
38581,Argentina,87,32,Malbec
38582,US,87,17,Cabernet Sauvignon
38583,Italy,87,17,Syrah
38584,US,87,24,Chardonnay
38585,Italy,86,10,Merlot
38586,France,86,16,Pinot Noir
38587,France,86,10,Sauvignon Blanc
38588,Italy,86,9,Montepulciano
38589,Italy,86,9,Sangiovese
38590,US,86,40,Pinot Noir
38591,US,86,20,Riesling
38592,Spain,86,16,Tempranillo Blend
38593,Italy,86,13,Montepulciano
38594,US,88,10,Riesling
38595,US,88,28,Merlot
38596,US,88,28,Pinot Noir
38597,US,88,20,Chardonnay
38598,Australia,88,80,Grenache
38599,France,88,105,Riesling
38600,Spain,88,19,Tempranillo Blend
38601,Italy,88,15,Sangiovese Grosso
38602,US,88,14,Sauvignon Blanc
38603,Australia,88,8,G-S-M
38604,Spain,88,13,Sparkling Blend
38605,Spain,88,16,Albariño
38606,Italy,88,72,Sangiovese Grosso
38607,France,88,55,Pinot Gris
38608,US,88,65,Bordeaux-style Red Blend
38609,US,88,20,Pinot Noir
38610,Spain,88,20,Tempranillo
38611,Australia,88,15,G-S-M
38612,US,88,60,Meritage
38613,US,88,18,Red Blend
38614,US,88,13,Pinot Gris
38615,US,88,14,Viognier
38616,US,88,12,Pinot Gris
38617,Spain,88,16,Tempranillo
38618,US,88,18,Chardonnay
38619,US,84,45,Petite Sirah
38620,Spain,84,13,Grenache
38621,US,84,34,Barbera
38622,South Africa,84,15,Pinotage
38623,France,84,10,Pinot Noir
38624,Spain,84,13,Tempranillo
38625,Spain,84,11,Tempranillo
38626,Portugal,84,14,Sousão
38627,US,84,49,Zinfandel
38628,US,84,42,Pinot Noir
38629,France,84,16,Sparkling Blend
38630,France,84,16,Sparkling Blend
38631,France,84,12,Sparkling Blend
38632,US,84,48,Syrah
38633,US,84,65,Cabernet Sauvignon
38634,US,84,35,Zinfandel
38635,US,84,16,Viognier
38636,South Africa,84,10,Pinotage
38637,US,84,18,Rosé
38638,US,84,17,Sangiovese
38639,US,89,20,Bordeaux-style Red Blend
38640,Hungary,89,24,White Blend
38641,US,89,28,Sauvignon Blanc
38642,France,89,26,Riesling
38643,US,89,32,Pinot Noir
38644,Chile,89,18,Cabernet Sauvignon
38645,France,89,33,Pinot Noir
38646,US,89,55,Chardonnay
38647,US,89,17,Sauvignon Blanc
38648,US,89,30,Bordeaux-style Red Blend
38649,Italy,89,70,Red Blend
38650,Chile,89,20,Cabernet Sauvignon
38651,New Zealand,89,18,Pinot Gris
38652,US,89,20,Rhône-style Red Blend
38653,US,89,55,Cabernet Sauvignon
38654,US,89,35,Malbec
38655,US,89,72,Zinfandel
38656,US,89,20,Chardonnay
38657,Chile,89,20,Carmenère
38658,US,89,24,Cabernet Franc
38659,US,89,40,Pinot Noir
38660,US,89,42,Grenache
38661,US,89,20,Rhône-style White Blend
38662,France,89,25,Rhône-style Red Blend
38663,US,89,46,Pinot Noir
38664,France,89,50,White Blend
38665,US,89,25,Cabernet Sauvignon
38666,US,89,34,Cabernet Sauvignon
38667,France,89,25,Riesling
38668,France,89,19,Pinot Gris
38669,US,92,38,Zinfandel
38670,Argentina,92,90,Malbec
38671,France,92,23,Chardonnay
38672,US,92,25,Zinfandel
38673,US,92,30,Viognier
38674,US,92,44,Pinot Noir
38675,Argentina,92,50,Malbec
38676,Argentina,92,27,Cabernet Franc
38677,Italy,92,54,Nebbiolo
38678,Italy,92,67,Red Blend
38679,US,92,50,Viognier
38680,Portugal,92,37,Portuguese White
38681,France,92,30,Chardonnay
38682,US,92,37,Zinfandel
38683,Italy,92,30,Red Blend
38684,Italy,92,48,Nebbiolo
38685,France,92,32,Chardonnay
38686,France,92,40,Chardonnay
38687,Italy,92,55,Nebbiolo
38688,Australia,92,40,Shiraz
38689,Portugal,92,,Portuguese Red
38690,Italy,92,38,Nebbiolo
38691,France,92,,Chardonnay
38692,US,92,32,Tempranillo
38693,Portugal,92,,Alvarinho
38694,Italy,92,20,Vermentino
38695,Italy,92,,Nebbiolo
38696,Argentina,92,35,Malbec
38697,US,92,38,Grenache
38698,France,84,,Chardonnay
38699,Italy,84,,Red Blend
38700,Italy,84,17,Nero d'Avola
38701,France,84,10,Gamay
38702,France,84,16,Gamay
38703,US,84,13,Chardonnay
38704,US,84,10,Chardonnay
38705,US,83,13,Riesling
38706,US,83,10,Pinot Noir
38707,Italy,83,24,Syrah
38708,US,83,7,Rosé
38709,US,83,65,Bordeaux-style Red Blend
38710,US,83,20,Merlot
38711,US,83,44,Bordeaux-style Red Blend
38712,Spain,83,10,Chardonnay
38713,Chile,83,12,Cabernet Sauvignon
38714,US,83,10,Merlot
38715,US,83,12,Zinfandel
38716,US,83,10,Red Blend
38717,US,83,25,Red Blend
38718,Italy,83,14,Grillo
38719,Spain,83,8,White Blend
38720,US,83,14,Rosé
38721,Portugal,83,7,Portuguese Red
38722,US,83,38,Petite Sirah
38723,France,90,19,Pinot Gris
38724,France,90,40,Gewürztraminer
38725,France,90,29,Pinot Gris
38726,France,90,20,Riesling
38727,France,90,18,Pinot Gris
38728,US,90,14,Fumé Blanc
38729,US,90,19,Red Blend
38730,US,90,50,Red Blend
38731,US,90,34,Cabernet Sauvignon
38732,US,90,25,Chardonnay
38733,US,90,60,Bordeaux-style Red Blend
38734,US,90,20,Muscat Blanc
38735,Greece,90,50,Agiorgitiko
38736,US,90,26,Cabernet Sauvignon
38737,US,90,50,Bordeaux-style Red Blend
38738,US,90,28,Chenin Blanc
38739,US,90,60,Merlot
38740,US,90,25,Rosé
38741,US,90,42,Zinfandel
38742,France,90,30,Riesling
38743,US,90,22,Rosé
38744,US,90,22,Riesling
38745,US,90,17,Riesling
38746,US,90,85,Cabernet Sauvignon
38747,France,90,19,Riesling
38748,Greece,90,35,Cabernet Sauvignon-Merlot
38749,US,90,46,Chardonnay
38750,US,90,20,Red Blend
38751,US,90,20,Chardonnay
38752,Spain,90,19,Verdejo
38753,France,91,40,Chenin Blanc
38754,Argentina,91,18,Malbec
38755,Spain,91,16,Tinta de Toro
38756,US,91,40,Syrah
38757,Argentina,91,,Tempranillo-Malbec
38758,Argentina,91,17,Red Blend
38759,US,91,34,Chardonnay
38760,US,91,41,Chardonnay
38761,Chile,91,26,Pinot Noir
38762,Spain,91,24,Tinta de Toro
38763,Spain,91,45,Bordeaux-style Red Blend
38764,France,91,42,Rhône-style Red Blend
38765,US,91,50,Chardonnay
38766,US,91,40,Chardonnay
38767,US,91,32,Sauvignon Blanc
38768,Italy,91,54,Aglianico
38769,US,91,41,Chardonnay
38770,US,91,30,Cabernet Sauvignon
38771,US,91,25,Rhône-style Red Blend
38772,France,91,40,Chenin Blanc
38773,Argentina,91,23,Malbec
38774,US,91,50,Chardonnay
38775,US,91,35,Chardonnay
38776,US,91,55,Syrah
38777,US,89,25,Pinot Noir
38778,France,89,25,Sauvignon Blanc
38779,Italy,89,38,Nebbiolo
38780,US,89,46,Rhône-style Red Blend
38781,Italy,89,79,Nebbiolo
38782,Spain,89,25,Red Blend
38783,Italy,89,48,Nebbiolo
38784,Italy,89,27,Merlot
38785,US,89,32,Syrah
38786,US,89,20,Sauvignon Blanc
38787,US,89,20,Cabernet Sauvignon
38788,US,89,28,Rhône-style Red Blend
38789,US,89,22,Grenache Blanc
38790,US,89,27,Pinot Noir
38791,US,89,35,Bordeaux-style Red Blend
38792,US,89,25,Sauvignon Blanc
38793,US,89,25,Red Blend
38794,US,89,22,Red Blend
38795,Italy,89,25,Barbera
38796,US,89,35,Tannat
38797,US,89,40,Syrah
38798,US,89,40,Tempranillo
38799,France,89,25,Bordeaux-style White Blend
38800,France,89,,Bordeaux-style Red Blend
38801,US,89,30,Chardonnay
38802,US,89,60,Malbec
38803,US,89,36,Chardonnay
38804,Chile,89,40,Carmenère
38805,Italy,89,35,Barbera
38806,Italy,89,,Nebbiolo
38807,Italy,88,45,Red Blend
38808,Italy,88,30,Sparkling Blend
38809,Italy,88,15,Sangiovese
38810,Italy,88,25,Cortese
38811,Uruguay,88,120,Tannat
38812,US,88,48,Chardonnay
38813,US,88,22,Sparkling Blend
38814,France,88,30,Champagne Blend
38815,France,88,,Bordeaux-style Red Blend
38816,France,88,16,Bordeaux-style Red Blend
38817,France,88,17,Viognier-Chardonnay
38818,US,88,22,Riesling
38819,US,88,29,Pinot Noir
38820,US,88,29,Syrah
38821,US,88,18,Viognier
38822,France,88,,Chardonnay
38823,US,88,40,Pinot Noir
38824,Italy,88,45,Cabernet Sauvignon
38825,Mexico,88,20,Nebbiolo
38826,Italy,88,34,Sparkling Blend
38827,US,88,35,Merlot-Cabernet Franc
38828,US,88,68,Pinot Noir
38829,US,88,24,Primitivo
38830,France,88,,Champagne Blend
38831,US,88,50,White Blend
38832,Italy,88,,Red Blend
38833,US,88,38,Chardonnay
38834,Italy,88,50,Merlot
38835,France,88,,Champagne Blend
38836,France,88,13,Bordeaux-style Red Blend
38837,US,90,18,Pinot Noir
38838,US,90,48,Red Blend
38839,US,90,18,Sauvignon Blanc
38840,France,90,26,Bordeaux-style Red Blend
38841,France,90,15,Bordeaux-style Red Blend
38842,France,90,50,Bordeaux-style Red Blend
38843,France,90,30,Bordeaux-style Red Blend
38844,France,90,19,Bordeaux-style Red Blend
38845,France,90,37,Bordeaux-style Red Blend
38846,France,90,25,Bordeaux-style Red Blend
38847,US,90,75,Cabernet Sauvignon
38848,US,90,85,Malbec
38849,Austria,90,,Grüner Veltliner
38850,Austria,90,15,Pinot Noir
38851,France,90,15,Rosé
38852,US,90,90,Pinot Noir
38853,Austria,90,73,Pinot Noir
38854,Italy,90,60,Nebbiolo
38855,US,90,49,Merlot
38856,US,90,40,Meritage
38857,Austria,90,120,Grüner Veltliner
38858,Austria,90,25,Riesling
38859,US,90,28,Merlot
38860,US,90,60,Cabernet Franc
38861,US,90,45,Sparkling Blend
38862,France,90,17,Carignan-Grenache
38863,France,90,55,Rhône-style Red Blend
38864,France,90,24,Rhône-style Red Blend
38865,Greece,90,23,Assyrtiko
38866,US,90,44,Cabernet Sauvignon
38867,US,87,38,Cabernet Sauvignon
38868,US,87,24,Marsanne-Roussanne
38869,Italy,87,18,Dolcetto
38870,US,87,23,Pinot Gris
38871,US,87,24,Cabernet Sauvignon
38872,Spain,87,14,Verdejo
38873,US,87,35,Pinot Noir
38874,US,87,75,Cabernet Sauvignon
38875,US,87,48,Rhône-style Red Blend
38876,US,87,21,Cabernet Franc
38877,US,87,22,Pinot Gris
38878,Italy,86,14,Cortese
38879,Italy,86,15,Dolcetto
38880,Spain,86,10,Grenache
38881,US,86,19,Chardonnay
38882,US,86,21,Grenache
38883,Argentina,86,12,Malbec
38884,Spain,86,8,Grenache-Syrah
38885,US,86,24,Cabernet Sauvignon-Merlot
38886,US,86,15,Cabernet Sauvignon
38887,France,86,12,Colombard
38888,US,89,15,Chardonnay
38889,France,89,43,Champagne Blend
38890,New Zealand,89,22,Sauvignon Blanc
38891,US,89,20,Cabernet Sauvignon
38892,US,89,45,Carmenère
38893,US,89,28,Garnacha Blanca
38894,France,89,27,Chenin Blanc
38895,France,89,26,Melon
38896,France,89,25,Sauvignon Blanc
38897,Italy,89,22,Glera
38898,,89,34,Pinot Noir
38899,US,89,25,Riesling
38900,Italy,89,19,Glera
38901,Italy,89,20,Friulano
38902,US,89,39,Pinot Noir
38903,Italy,89,20,Glera
38904,New Zealand,89,25,Pinot Noir
38905,Argentina,89,30,Cabernet Franc
38906,France,89,45,Champagne Blend
38907,Italy,89,35,Sauvignon
38908,Italy,89,29,Glera
38909,Germany,89,20,Riesling
38910,Spain,89,20,Sherry
38911,Spain,89,37,Red Blend
38912,Italy,89,18,Friulano
38913,US,89,80,Pinot Noir
38914,Italy,89,21,Sauvignon
38915,Italy,89,23,Glera
38916,Spain,89,48,Monastrell
38917,Italy,89,22,White Blend
38918,US,88,39,Cabernet Sauvignon
